Tiempo,Voltaje
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
0.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
1.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.26
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
2.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.3
3.0,3.19
3.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.29
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
4.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
5.0,3.3
6.0,3.3
6.0,3.3
6.0,3.3
6.0,3.3
6.0,3.3
6.0,3.3
6.0,3.3
6.0,3.3
6.0,3.3
6.0,3.3
6.0,3.29
6.0,3.3
6.0,3.3
6.0,3.3
6.0,3.3
6.0,3.3
